Country,Year,Population,,Population,,Population,Income,Energy
Angola,1970,6.04,6040000,6.04M,#VALUE!,6040000,3170,637
Angola,1971,6.25,6250000,6.25M,#VALUE!,6250000,3140,663
Angola,1972,6.5,6500000,6.5M,#VALUE!,6500000,3280,636
Angola,1973,6.76,6760000,6.76M,#VALUE!,6760000,3140,624
Angola,1974,7.02,7020000,7.02M,#VALUE!,7020000,1970,587
Angola,1975,7.28,7280000,7.28M,#VALUE!,7280000,1750,559
Angola,1976,7.53,7530000,7.53M,#VALUE!,7530000,1730,533
Angola,1977,7.79,7790000,7.79M,#VALUE!,7790000,1760,567
Angola,1978,8.06,8060000,8.06M,#VALUE!,8060000,1760,556
Angola,1979,8.34,8340000,8.34M,#VALUE!,8340000,1760,547
Angola,1980,8.64,8640000,8.64M,#VALUE!,8640000,1690,532
Angola,1981,8.95,8950000,8.95M,#VALUE!,8950000,1580,506
Angola,1982,9.28,9280000,9.28M,#VALUE!,9280000,1480,502
Angola,1983,9.61,9610000,9.61M,#VALUE!,9610000,1450,489
Angola,1984,9.96,9960000,9.96M,#VALUE!,9960000,1430,501
Angola,1985,10.3,10300000,10.3M,#VALUE!,10300000,1270,489
Angola,1986,10.7,10700000,10.7M,#VALUE!,10700000,1390,484
Angola,1987,11.1,11100000,11.1M,#VALUE!,11100000,1560,486
Angola,1988,11.5,11500000,11.5M,#VALUE!,11500000,1560,480
Angola,1989,11.8,11800000,11.8M,#VALUE!,11800000,1590,497
Angola,1990,12.2,12200000,12.2M,#VALUE!,12200000,1650,492
Angola,1991,12.7,12700000,12.7M,#VALUE!,12700000,1600,479
Angola,1992,13.1,13100000,13.1M,#VALUE!,13100000,1240,480
Angola,1993,13.5,13500000,13.5M,#VALUE!,13500000,1290,471
Angola,1994,13.9,13900000,13.9M,#VALUE!,13900000,1520,456
Angola,1995,14.4,14400000,14.4M,#VALUE!,14400000,1760,454
Angola,1996,14.9,14900000,14.9M,#VALUE!,14900000,1940,449
Angola,1997,15.4,15400000,15.4M,#VALUE!,15400000,2080,434
Angola,1998,15.9,15900000,15.9M,#VALUE!,15900000,2190,441
Angola,1999,16.4,16400000,16.4M,#VALUE!,16400000,2320,439
Angola,2000,16.9,16900000,16.9M,#VALUE!,16900000,2490,443
Angola,2001,17.5,17500000,17.5M,#VALUE!,17500000,2900,448
Angola,2002,18.1,18100000,18.1M,#VALUE!,18100000,3120,468
Angola,2003,18.8,18800000,18.8M,#VALUE!,18800000,3520,465
Angola,2004,19.4,19400000,19.4M,#VALUE!,19400000,4270,434
Angola,2005,20.1,20100000,20.1M,#VALUE!,20100000,5560,459
Angola,2006,20.9,20900000,20.9M,#VALUE!,20900000,6920,472
Angola,2007,21.7,21700000,21.7M,#VALUE!,21700000,7820,492
Angola,2008,22.5,22500000,22.5M,#VALUE!,22500000,7750,515
Angola,2009,23.4,23400000,23.4M,#VALUE!,23400000,7690,521
Angola,2010,24.2,24200000,24.2M,#VALUE!,24200000,7680,522
Albania,1970,2.2,2200000,2.2M,#VALUE!,2200000,3900,785
Albania,1971,2.25,2250000,2.25M,#VALUE!,2250000,4060,866
Albania,1972,2.31,2310000,2.31M,#VALUE!,2310000,4270,763
Albania,1973,2.36,2360000,2.36M,#VALUE!,2360000,4300,777
Albania,1974,2.41,2410000,2.41M,#VALUE!,2410000,4320,827
Albania,1975,2.46,2460000,2.46M,#VALUE!,2460000,4340,891
Albania,1976,2.52,2520000,2.52M,#VALUE!,2520000,4370,924
Albania,1977,2.57,2570000,2.57M,#VALUE!,2570000,4400,1010
