Country,Year,Population,Income,Energy
Angola,1970,6040000,3170,637
Angola,1971,6250000,3140,663
Angola,1972,6500000,3280,636
Angola,1973,6760000,3140,624
Angola,1974,7020000,1970,587
Angola,1975,7280000,1750,559
Angola,1976,7530000,1730,533
Angola,1977,7790000,1760,567
Angola,1978,8060000,1760,556
Angola,1979,8340000,1760,547
Angola,1980,8640000,1690,532
Angola,1981,8950000,1580,506
Angola,1982,9280000,1480,502
Angola,1983,9610000,1450,489
Angola,1984,9960000,1430,501
Angola,1985,10300000,1270,489
Angola,1986,10700000,1390,484
Angola,1987,11100000,1560,486
Angola,1988,11500000,1560,480
Angola,1989,11800000,1590,497
Angola,1990,12200000,1650,492
Angola,1991,12700000,1600,479
Angola,1992,13100000,1240,480
Angola,1993,13500000,1290,471
Angola,1994,13900000,1520,456
Angola,1995,14400000,1760,454
Angola,1996,14900000,1940,449
Angola,1997,15400000,2080,434
Angola,1998,15900000,2190,441
Angola,1999,16400000,2320,439
Angola,2000,16900000,2490,443
Angola,2001,17500000,2900,448
Angola,2002,18100000,3120,468
Angola,2003,18800000,3520,465
Angola,2004,19400000,4270,434
Angola,2005,20100000,5560,459
Angola,2006,20900000,6920,472
Angola,2007,21700000,7820,492
Angola,2008,22500000,7750,515
Angola,2009,23400000,7690,521
Angola,2010,24200000,7680,522
Albania,1970,2200000,3900,785
Albania,1971,2250000,4060,866
Albania,1972,2310000,4270,763
Albania,1973,2360000,4300,777
Albania,1974,2410000,4320,827
Albania,1975,2460000,4340,891
Albania,1976,2520000,4370,924
Albania,1977,2570000,4400,1010
Albania,1978,2630000,4430,864
Albania,1979,2680000,4470,1150
Albania,1980,2740000,4500,989
Albania,1981,2790000,4530,967
Albania,1982,2840000,4570,1000
Albania,1983,2900000,4600,1020
Albania,1984,2970000,4630,917
Albania,1985,3040000,4670,964
Albania,1986,3120000,4710,922
Albania,1987,3200000,4750,928
Albania,1988,3260000,4790,896
Albania,1989,3290000,4840,813
Albania,1990,3280000,3510,573
Albania,1991,3250000,3280,418
Albania,1992,3200000,3610,412
Albania,1993,3150000,3930,441
Albania,1994,3110000,4490,417
Albania,1995,3100000,4930,448
Albania,1996,3100000,4420,385
Albania,1997,3110000,4840,427
Albania,1998,3120000,5490,576
Albania,1999,3130000,5910,580
Albania,2000,3130000,6460,597
Albania,2001,3130000,6780,660
Albania,2002,3120000,7180,648
Albania,2003,3100000,7610,715
Albania,2004,3090000,8070,720
Albania,2005,3060000,8600,707
Albania,2006,3030000,9180,680
Albania,2007,3000000,9940,711
Albania,2008,2970000,10300,732
Albania,2009,2950000,10800,729
Albania,2010,2930000,11100,765
United Arab Emirates,1970,277000,101000,3650
United Arab Emirates,1971,331000,93600,3180
United Arab Emirates,1972,395000,91200,3310
United Arab Emirates,1973,467000,93500,2870
United Arab Emirates,1974,548000,84300,3530
United Arab Emirates,1975,638000,83900,3860
United Arab Emirates,1976,735000,85700,5590
United Arab Emirates,1977,835000,73600,5710
United Arab Emirates,1978,932000,81900,5980
United Arab Emirates,1979,1020000,93500,7090
United Arab Emirates,1980,1100000,89500,8090
United Arab Emirates,1981,1160000,77300,8300
United Arab Emirates,1982,1230000,69400,7580
United Arab Emirates,1983,1290000,68500,9330
United Arab Emirates,1984,1370000,63200,10000
United Arab Emirates,1985,1450000,47900,10800
United Arab Emirates,1986,1530000,47600,11300
United Arab Emirates,1987,1630000,44100,10900
United Arab Emirates,1988,1730000,46800,11900
United Arab Emirates,1989,1830000,51100,11200
United Arab Emirates,1990,1940000,50300,12100
United Arab Emirates,1991,2050000,50300,10900
United Arab Emirates,1992,2170000,49800,10800
United Arab Emirates,1993,2290000,52800,11400
United Arab Emirates,1994,2420000,55900,11500
United Arab Emirates,1995,2540000,58300,11500
United Arab Emirates,1996,2670000,62500,11600
United Arab Emirates,1997,2810000,62500,11200
United Arab Emirates,1998,2970000,64300,10900
United Arab Emirates,1999,3130000,71200,10100
United Arab Emirates,2000,3300000,71800,12200
United Arab Emirates,2001,3480000,73000,11500
United Arab Emirates,2002,3710000,78100,10600
United Arab Emirates,2003,4070000,82000,10300
United Arab Emirates,2004,4590000,80200,9700
United Arab Emirates,2005,5300000,86400,8720
United Arab Emirates,2006,6170000,76600,8130
United Arab Emirates,2007,7090000,68800,8370
United Arab Emirates,2008,7920000,58400,7570
United Arab Emirates,2009,8550000,54900,7220
United Arab Emirates,2010,8950000,56100,7190
Argentina,1970,24300000,14800,1390
Argentina,1971,24700000,15100,1390
Argentina,1972,25100000,15900,1420
Argentina,1973,25500000,16700,1430
Argentina,1974,25900000,16400,1390
Argentina,1975,26300000,16200,1420
Argentina,1976,26700000,16900,1430
Argentina,1977,27100000,16000,1440
Argentina,1978,27500000,17000,1500
Argentina,1979,27900000,17000,1500
Argentina,1980,28300000,15900,1440
Argentina,1981,28800000,15200,1430
Argentina,1982,29300000,15600,1430
Argentina,1983,29700000,15800,1460
Argentina,1984,30200000,14600,1370
Argentina,1985,30700000,15500,1430
Argentina,1986,31200000,15800,1480
Argentina,1987,31700000,15300,1510
Argentina,1988,32100000,14300,1450
Argentina,1989,32600000,14100,1410
Argentina,1990,33100000,15200,1440
Argentina,1991,33500000,16200,1490
Argentina,1992,34000000,17300,1470
Argentina,1993,34400000,18100,1550
Argentina,1994,34800000,17400,1550
Argentina,1995,35200000,18100,1590
Argentina,1996,35700000,19300,1620
Argentina,1997,36100000,19900,1660
Argentina,1998,36500000,19000,1670
Argentina,1999,36900000,18600,1670
Argentina,2000,37300000,17600,1570
Argentina,2001,37700000,15500,1510
Argentina,2002,38100000,16700,1600
Argentina,2003,38500000,18000,1730
Argentina,2004,38900000,19400,1720
Argentina,2005,39300000,20800,1850
Argentina,2006,39700000,22400,1860
Argentina,2007,40100000,23100,1940
Argentina,2008,40500000,21500,1870
Argentina,2009,40900000,23500,1930
Argentina,2010,41300000,24600,1950
Australia,1970,13000000,22400,3990
Australia,1971,13200000,22600,4040
Australia,1972,13400000,23500,4260
Australia,1973,13600000,23700,4290
Australia,1974,13800000,24000,4350
Australia,1975,13900000,24700,4410
Australia,1976,14100000,24700,4670
Australia,1977,14200000,25100,4630
Australia,1978,14400000,26100,4680
Australia,1979,14600000,26200,4740
Australia,1980,14800000,26700,4690
Australia,1981,15000000,26200,4820
Australia,1982,15200000,25900,4560
Australia,1983,15400000,27400,4650
Australia,1984,15700000,28400,4600
Australia,1985,15900000,28600,4620
Australia,1986,16200000,29600,4770
Australia,1987,16500000,30400,4700
Australia,1988,16700000,31200,5000
Australia,1989,17000000,31200,5060
Australia,1990,17200000,30600,4930
Australia,1991,17400000,30400,4960
Australia,1992,17600000,31300,5150
Australia,1993,17800000,32200,5090
Australia,1994,18000000,33000,5130
Australia,1995,18200000,33900,5390
Australia,1996,18400000,34800,5470
Australia,1997,18600000,36100,5550
Australia,1998,18800000,37500,5610
Australia,1999,19000000,38500,5640
Australia,2000,19200000,38700,5450
Australia,2001,19400000,39700,5570
Australia,2002,19600000,40400,5570
Australia,2003,19900000,41600,5600
Australia,2004,20200000,42300,5560
Australia,2005,20500000,42900,5710
Australia,2006,20900000,44300,5870
Australia,2007,21300000,45000,5960
Australia,2008,21800000,44900,5860
Australia,2009,22200000,45100,5790
Australia,2010,22500000,45600,5750
Austria,1970,7550000,20200,2510
Austria,1971,7580000,21400,2630
Austria,1972,7610000,22500,2830
Austria,1973,7630000,23500,2730
Austria,1974,7640000,23600,2650
Austria,1975,7640000,24900,2870
Austria,1976,7640000,26200,2800
Austria,1977,7630000,26300,2890
Austria,1978,7620000,28000,3140
Austria,1979,7610000,28800,3070
Austria,1980,7600000,28900,2900
Austria,1981,7600000,29600,2830
Austria,1982,7600000,30700,2840
Austria,1983,7610000,31000,2950
Austria,1984,7610000,31800,3050
Austria,1985,7630000,32700,3060
Austria,1986,7640000,33400,3170
Austria,1987,7660000,34600,3200
Austria,1988,7690000,36200,3140
Austria,1989,7720000,37600,3240
Austria,1990,7770000,38500,3420
Austria,1991,7830000,38800,3250
Austria,1992,7890000,38700,3260
Austria,1993,7950000,39500,3230
Austria,1994,7990000,40500,3370
Austria,1995,8020000,41400,3580
Austria,1996,8030000,42200,3550
Austria,1997,8040000,43700,3610
Austria,1998,8050000,45100,3590
Austria,1999,8070000,46600,3570
Austria,2000,8100000,47000,3760
Austria,2001,8130000,47500,3770
Austria,2002,8180000,47700,3970
Austria,2003,8220000,48700,4010
Austria,2004,8250000,49500,4090
Austria,2005,8290000,50900,4080
Austria,2006,8310000,52700,4020
Austria,2007,8340000,53300,4030
Austria,2008,8370000,51100,3800
Austria,2009,8410000,51900,4050
Austria,2010,8450000,53300,3920
Belgium,1970,9660000,21100,4100
Belgium,1971,9690000,22200,4470
Belgium,1972,9720000,23600,4720
Belgium,1973,9750000,24600,4620
Belgium,1974,9770000,24300,4320
Belgium,1975,9790000,25700,4620
Belgium,1976,9820000,26000,4590
Belgium,1977,9840000,26800,4830
Belgium,1978,9850000,27500,4980
Belgium,1979,9870000,28800,4740
Belgium,1980,9880000,28600,4420
Belgium,1981,9890000,29100,4210
Belgium,1982,9900000,29200,4160
Belgium,1983,9910000,30000,4330
Belgium,1984,9920000,30400,4470
