country,Year,population_total,income_per_person_gdppercapita_ppp_inflation_adjusted (1),energy_use_per_person (1)
Angola,1970,6.04M,3170,637
Angola,1971,6.25M,3140,663
Angola,1972,6.5M,3280,636
Angola,1973,6.76M,3140,624
Angola,1974,7.02M,1970,587
Angola,1975,7.28M,1750,559
Angola,1976,7.53M,1730,533
Angola,1977,7.79M,1760,567
Angola,1978,8.06M,1760,556
Angola,1979,8.34M,1760,547
Angola,1980,8.64M,1690,532
Angola,1981,8.95M,1580,506
Angola,1982,9.28M,1480,502
Angola,1983,9.61M,1450,489
Angola,1984,9.96M,1430,501
Angola,1985,10.3M,1270,489
Angola,1986,10.7M,1390,484
Angola,1987,11.1M,1560,486
Angola,1988,11.5M,1560,480
Angola,1989,11.8M,1590,497
Angola,1990,12.2M,1650,492
Angola,1991,12.7M,1600,479
Angola,1992,13.1M,1240,480
Angola,1993,13.5M,1290,471
Angola,1994,13.9M,1520,456
Angola,1995,14.4M,1760,454
Angola,1996,14.9M,1940,449
Angola,1997,15.4M,2080,434
Angola,1998,15.9M,2190,441
Angola,1999,16.4M,2320,439
Angola,2000,16.9M,2490,443
Angola,2001,17.5M,2900,448
Angola,2002,18.1M,3120,468
Angola,2003,18.8M,3520,465
Angola,2004,19.4M,4270,434
Angola,2005,20.1M,5560,459
Angola,2006,20.9M,6920,472
Angola,2007,21.7M,7820,492
Angola,2008,22.5M,7750,515
Angola,2009,23.4M,7690,521
Angola,2010,24.2M,7680,522
Albania,1970,2.2M,3900,785
Albania,1971,2.25M,4060,866
Albania,1972,2.31M,4270,763
Albania,1973,2.36M,4300,777
Albania,1974,2.41M,4320,827
Albania,1975,2.46M,4340,891
Albania,1976,2.52M,4370,924
Albania,1977,2.57M,4400,1010
Albania,1978,2.63M,4430,864
Albania,1979,2.68M,4470,1150
Albania,1980,2.74M,4500,989
Albania,1981,2.79M,4530,967
Albania,1982,2.84M,4570,1000
Albania,1983,2.9M,4600,1020
Albania,1984,2.97M,4630,917
Albania,1985,3.04M,4670,964
Albania,1986,3.12M,4710,922
Albania,1987,3.2M,4750,928
Albania,1988,3.26M,4790,896
Albania,1989,3.29M,4840,813
Albania,1990,3.28M,3510,573
Albania,1991,3.25M,3280,418
Albania,1992,3.2M,3610,412
Albania,1993,3.15M,3930,441
Albania,1994,3.11M,4490,417
Albania,1995,3.1M,4930,448
Albania,1996,3.1M,4420,385
Albania,1997,3.11M,4840,427
Albania,1998,3.12M,5490,576
Albania,1999,3.13M,5910,580
Albania,2000,3.13M,6460,597
Albania,2001,3.13M,6780,660
Albania,2002,3.12M,7180,648
Albania,2003,3.1M,7610,715
Albania,2004,3.09M,8070,720
